Table:	CodeValueList
PK	ListName	ListCode	ListCodeNum	SortSeq	CodeValue	MinValue	MaxValue	CodeDesc
22403	ApprovedBoats	MC214V-57-ZO	227	227	MasterCraft 214V-5.7L ZO			Old | Indmar MCX 5.7L | Fuel Del:EFI | Trans:1.56:1 | Propeller Mfr,Blades, Size:OJ, 4, 13.7 x 17.5 | ZO
22404	ApprovedBoats	Outback-57-PS	228	228	MMoomba Outback-5.7L PS			Old | Indmar Assault 5.7L | Fuel Del:EFI | Trans:1.03:1 | Propeller Mfr,Blades, Size:OJ, 3, 13 x 11 Nibral | PP 6.5ng | ZO
22405	ApprovedBoats	Outback-57-PP	229	229	MMoomba Outback-5.7L PP			Old | Indmar Assault 5.7L | Fuel Del:EFI | Trans:1.03:1 | Propeller Mfr,Blades, Size:OJ, 3, 13 x 11 Nibral | PPSG
22361	ApprovedManufacturers	CC	1.000	1	Correct Craft			Correct Craft
22362	ApprovedManufacturers	MC	2.000	2	MasterCraft			MasterCraft
22363	ApprovedManufacturers	MA	3.000	3	Malibu			Malibu
22364	ApprovedManufacturers	CE	4.000	4	Centurion			Centurion
22365	ApprovedManufacturers	OU	5.000	5	MMoomba			MMoomba
22406	AWSAAgeGroup	B1		11	Boys 1	1.000	9.000	
22407	AWSAAgeGroup	B2		12	Boys 2	1.000	13.000	
22408	AWSAAgeGroup	B3		13	Boys 3	1.000	17.000	
22409	AWSAAgeGroup	G1		14	Girls 1	1.000	9.000	
22410	AWSAAgeGroup	G2		15	Girls 2	1.000	13.000	
22411	AWSAAgeGroup	G3		16	Girls 3	1.000	17.000	
22412	AWSAAgeGroup	M1		17	Mens 1	18.000	24.000	
22413	AWSAAgeGroup	M2		18	Mens 2	25.000	34.000	
22414	AWSAAgeGroup	M3		19	Mens 3	35.000	44.000	
22415	AWSAAgeGroup	M4		20	Mens 4	45.000	52.000	
22416	AWSAAgeGroup	M5		21	Mens 5	53.000	59.000	
22417	AWSAAgeGroup	M6		22	Mens 6	60.000	64.000	
22418	AWSAAgeGroup	M7		23	Mens 7	65.000	69.000	
22419	AWSAAgeGroup	M8		24	Mens 8	70.000	74.000	
22420	AWSAAgeGroup	M9		25	Mens 9	75.000	79.000	
22421	AWSAAgeGroup	MA		26	Mens 10	80.000	84.000	
22422	AWSAAgeGroup	MB		27	Mens 11	85.000	100.000	
22423	AWSAAgeGroup	W1		29	Womens 1	18.000	24.000	
22424	AWSAAgeGroup	W2		30	Womens 2	25.000	34.000	
22425	AWSAAgeGroup	W3		31	Womens 3	35.000	44.000	
22426	AWSAAgeGroup	W4		32	Womens 4	45.000	52.000	
22427	AWSAAgeGroup	W5		33	Womens 5	53.000	59.000	
22428	AWSAAgeGroup	W6		34	Womens 6	60.000	64.000	
22429	AWSAAgeGroup	W7		35	Womens 7	65.000	69.000	
22430	AWSAAgeGroup	W8		36	Womens 8	70.000	74.000	
22431	AWSAAgeGroup	W9		37	Womens 9	75.000	79.000	
22432	AWSAAgeGroup	WA		38	Womens 10	80.000	84.000	
22433	AWSAAgeGroup	WB		39	Womens 11	85.000	100.000	
22434	AWSAAgeGroup	OM		40	Open Mens	1.000	100.000	
22435	AWSAAgeGroup	OW		41	Open Womens	1.000	100.000	
22436	AWSAAgeGroup	MM		42	Master Mens	35.000	100.000	
22437	AWSAAgeGroup	MW		43	Master Womens	35.000	100.000	
22438	AWSAAgeGroup	NM		44	Novice Mens	18.000	100.000	
22439	AWSAAgeGroup	NW		45	Novice Womens	18.000	100.000	
22445	AWSAAgeGroup	IM		71	Intl Men	1.000	99.000	
22446	AWSAAgeGroup	IW		72	Intl Women	1.000	99.000	
22440	AWSAAgeGroup	OF		999	NonSkiing Official	16.000	100.000	
22456	AWSAJumpMax	B2		2	45kph, 28.0mph	28.000	45.000	
