Table:	NopsData										
SkiYear	Event	AgeGroup	SortSeq	Base	Adj	RatingMedian	RatingRec	RatingOpen	OverallBase	OverallExp	EventsReqd
15	Slalom	CM	1	1500	0	77.5	121	0	8	2.456	3
15	Trick	CM	2	15000	0	700	11070	0	0	0.398	3
15	Jump	CM	3	1500	31.35	84	209	0	0	0.903	3
15	Slalom	CW	1	1500	0	57.5	109	0	8	1.684	3
15	Trick	CW	2	15000	0	600	8930	0	0	0.407	3
15	Jump	CW	3	1500	23.25	45	155	0	0	0.61	3
15	Slalom	BM	1	1500	0	77.5	121	0	8	2.456	3
15	Trick	BM	2	15000	0	700	11070	0	0	0.398	3
15	Jump	BM	3	1500	31.35	84	209	0	0	0.903	3
15	Slalom	BW	1	1500	0	57.5	109	0	8	1.684	3
15	Trick	BW	2	15000	0	600	8930	0	0	0.407	3
15	Jump	BW	3	1500	23.25	45	155	0	0	0.61	3
15	Slalom	IM	1	1500	0	0	74.5	0	0	0	3
15	Trick	IM	2	15000	0	0	12570	0	0	0	3
15	Jump	IM	3	1500	37.05	0	76.3	0	0	0	3
15	Slalom	IW	1	1500	0	0	0	0	0	0	0
15	Trick	IW	2	15000	0	0	0	0	0	0	0
15	Jump	IW	3	1500	26.4	0	0	0	0	0	0
15	Slalom	JM	1	1500	0	0	69.25	0	0	0	3
15	Trick	JM	2	15000	0	0	10460	0	0	0	3
15	Jump	JM	3	1500	37.05	0	58.6	0	0	0	3
15	Slalom	JW	1	1500	0	0	0	0	0	0	0
15	Trick	JW	2	15000	0	0	0	0	0	0	0
15	Jump	JW	3	1500	26.4	0	0	0	0	0	0
15	Slalom	IB	1	1500	0	0	0	0	0	0	3
15	Trick	IB	2	15000	0	0	0	0	0	0	3
15	Jump	IB	3	1500	28.65	0	0	0	0	0	3
15	Slalom	IG	1	1500	0	0	0	0	0	0	3
15	Trick	IG	2	15000	0	0	0	0	0	0	3
15	Jump	IG	3	1500	23.1	0	0	0	0	0	3
15	Slalom	JB	1	1500	0	0	0	0	0	0	3
15	Trick	JB	2	15000	0	0	0	0	0	0	3
15	Jump	JB	3	1500	19.65	0	0	0	0	0	3
15	Slalom	JG	1	1500	0	0	0	0	0	0	3
15	Trick	JG	2	15000	0	0	0	0	0	0	3
15	Jump	JG	3	1500	18	0	0	0	0	0	3
15	Slalom	S1	1	1500	0	0	0	0	0	0	3
15	Trick	S1	2	15000	0	0	0	0	0	0	3
15	Jump	S1	3	1500	31.35	0	0	0	0	0	3
15	Slalom	S2	1	1500	0	0	0	0	0	0	3
15	Trick	S2	2	15000	0	0	0	0	0	0	3
15	Jump	S2	3	1500	26.85	0	0	0	0	0	3
15	Slalom	S3	1	1500	0	0	0	0	0	0	3
15	Trick	S3	2	15000	0	0	0	0	0	0	3
15	Jump	S3	3	1500	22.8	0	0	0	0	0	3
15	Slalom	S4	1	1500	0	0	0	0	0	0	3
15	Trick	S4	2	15000	0	0	0	0	0	0	3
15	Jump	S4	3	1500	23.25	0	0	0	0	0	3
15	Slalom	L1	1	1500	0	0	0	0	0	0	3
15	Trick	L1	2	15000	0	0	0	0	0	0	3
15	Jump	L1	3	1500	18.3	0	0	0	0	0	3
15	Slalom	L2	1	1500	0	0	0	0	0	0	3
15	Trick	L2	2	15000	0	0	0	0	0	0	3
15	Jump	L2	3	1500	16.05	0	0	0	0	0	3
15	Slalom	L3	1	1500	0	0	0	0	0	0	3
15	Trick	L3	2	15000	0	0	0	0	0	0	3
15	Jump	L3	3	1500	16.05	0	0	0	0	0	3
15	Slalom	L4	1	1500	0	0	0	0	0	0	3
15	Trick	L4	2	15000	0	0	0	0	0	0	3
15	Jump	L4	3	1500	16.05	0	0	0	0	0	3
14	Slalom	B1	1	1500	0	24	81	0	24	0.937	2	
14	Trick	B1	2	15000	0	350	4090	0	0	0.447	2	
14	Jump	B1	3	1500	0	999	999	0	0	0	2	
14	Slalom	B2	1	1500	0	56.5	104	0	8	1.76	3	
14	Trick	B2	2	15000	0	850	7870	0	0	0.494	3	
14	Jump	B2	3	1500	21.45	47	143	0	0	0.704	3	
14	Slalom	B3	1	1500	0	74.5	117	0	8	2.418	3	
14	Trick	B3	2	15000	0	1600	10430	0	0	0.586	3	
